object_id,scene_id,date,lon,lat,old_class,ais_matched,ais_matched_raw,ais_match_quality,on_land,water_fraction,distance_to_land_m,major_m,minor_m,area_m2,aspect_ratio,confidence,vv_target_p95_db,vh_target_p95_db,vv_background_median_db,vh_background_median_db,vv_contrast_db,vh_contrast_db,combined_contrast_db,vv_minus_vh_peak_db,temporal_cluster_id,n_dates_detected,detection_persistence,bright_persistence,position_std_m,ts_median_contrast_db,ts_mad_contrast_db,ts_relative_mad,temporal_spike_db,geometry_plausible,vessel_score,final_class_3,classification_reason,review_flag
39,S01_20240602,S01_20240602,103.65307432219724,1.0238508446219206,UNCERTAIN,False,False,NONE,False,1.0,6876.187906899658,60.768838558486095,60.06258550672828,2838.793849026778,1.0117586188772825,0.7063393592834473,3.296875,-5.796875,-18.140625,-24.90625,21.4375,19.109375,21.4375,9.09375,39,1,0.05555555555555555,0.05555555555555555,0.0,3.65625,0.78125,0.16778523489932887,17.78125,True,0.9862492008206174,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),False
40,S01_20240602,S01_20240602,103.91353631070064,1.024189031628043,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,137.34268218269838,433.3666248114002,318.2681140692127,92531.54089921448,1.3616400941665097,0.5567542910575867,-5.5234375,-14.171875,-8.8359375,-14.40625,3.3125,0.234375,3.3125,8.6484375,40,13,0.7222222222222222,0.0,10.505894975532856,4.6953125,0.33984375,0.059670781893004114,-1.3828125,False,0.11351210512769062,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
41,S01_20240602,S01_20240602,103.93005366256678,1.02449281728217,PROBABLE_FALSE_ALARM,False,False,NONE,False,0.925,183.7173445448865,342.8090693758466,181.81988785729192,27151.517986553336,1.885432190151349,0.7000886797904968,8.984375,-5.24609375,2.158203125,-10.1875,6.826171875,4.94140625,6.826171875,14.23046875,41,5,0.2777777777777778,0.16666666666666666,14.986587229228384,7.57470703125,2.171875,0.25328853709925403,-0.74853515625,False,0.731788233129785,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),False
42,S01_20240602,S01_20240602,103.92067233842504,1.02460988206657,STATIC_MARITIME_OBJECT,False,False,NONE,False,0.88125,83.86449310557501,542.1185485543746,243.0329925241011,66663.46511438643,2.230637671552408,0.7905682325363159,-5.31640625,-10.484375,-9.875,-16.65625,4.55859375,6.171875,6.171875,5.16796875,42,14,0.7777777777777778,0.0,7.725077322791873,5.546875,0.611328125,0.09337708830548926,0.625,False,0.228312077217757,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
43,S01_20240602,S01_20240602,103.80308883163738,1.0256057498080395,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.018750000000000044,160.15313506294487,390.0188188549998,273.5988969799998,73272.7548997455,1.4255131258204976,0.384687066078186,-2.951171875,-11.28125,-9.2734375,-14.953125,6.322265625,3.671875,6.322265625,8.330078125,43,15,0.8333333333333334,0.0,7.039605653143316,4.779296875,0.7978515625,0.1380533964177087,1.54296875,False,0.0012427302538379629,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
44,S01_20240602,S01_20240602,103.99605656580374,1.025784635700853,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.0,702.1053946429009,228.206088253462,90.55398101469244,14183.027982879312,2.5201110508486133,0.3027141690254211,11.5703125,0.259033203125,-6.94921875,-14.5234375,18.51953125,14.782470703125,18.51953125,11.311279296875,44,12,0.6666666666666666,1.0,3.8450096094027617,18.87109375,0.84765625,0.04265775506192255,-0.3515625,True,0.00986028689300774,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
45,S01_20240602,S01_20240602,103.66224171757834,1.0265203367798486,NON_AIS_LIKELY_VESSEL,False,False,NONE,False,1.0,5814.450412096228,102.94420185992942,68.15761128375755,5068.654450427376,1.510384532570345,0.7015759348869324,0.1353759765625,-6.26953125,-18.015625,-24.640625,18.1510009765625,18.37109375,18.37109375,6.4049072265625,45,1,0.05555555555555555,0.05555555555555555,0.0,2.8203125,0.8046875,0.21063394683026584,15.55078125,True,0.9773550788653089,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),False
46,S01_20240602,S01_20240602,103.83680850818696,1.0286276442724052,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,389.1967335317123,581.3939664580117,435.7010953642618,142201.64611634205,1.3343872040806908,0.5277314186096191,-5.62109375,-12.8359375,-11.78125,-18.28125,6.16015625,5.4453125,6.16015625,7.21484375,46,15,0.8333333333333334,0.0,5.8817601560603805,7.533203125,1.015625,0.11902037079423208,-1.373046875,False,0.2870833074182799,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
47,S01_20240602,S01_20240602,103.84067092080154,1.0289071701594523,PROBABLE_FALSE_ALARM,False,False,NONE,False,0.5875,157.63003469573954,1348.4200141839472,629.8576972894159,494149.3191635978,2.140832794434131,0.4718950688838959,-3.505859375,-10.0546875,-7.953125,-14.359375,4.447265625,4.3046875,4.447265625,6.548828125,47,10,0.5555555555555556,0.0,22.18831618080655,4.189453125,0.482421875,0.0929619872036131,0.2578125,False,0.07915365594592357,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
48,S01_20240602,S01_20240602,103.80319955724214,1.0295020545391311,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.31875,52.017763138904094,991.1729569686922,464.98615887298905,318631.62295378075,2.131618195627692,0.6162399053573608,-7.3671875,-15.984375,-9.015625,-15.46875,1.6484375,-0.515625,1.6484375,8.6171875,48,15,0.8333333333333334,0.0,7.567627381639346,0.82421875,0.55078125,0.3019271948608137,0.82421875,False,0.010129449118898985,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
